drink_name,is_alcoholic,category,glassType,drink_ingredients,drink_instructions,ingredientMeasures
Jamaica Kiss,Alcoholic,Shake,Hurricane glass,"Coffee liqueur, Light rum, Ice, Milk",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,"['1 shot ', '1 shot Jamaican ', 'cubes', None]"
John Collins,Alcoholic,Ordinary Drink,Collins glass,"Bourbon, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,"['2 oz ', '1 oz ', '1 tsp superfine ', '3 oz ', '1 ', '1 ']"
Japanese Fizz,Alcoholic,Ordinary Drink,Highball glass,"Blended whiskey, Lemon, Powdered sugar, Port, Egg white, Carbonated water","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tblsp', '1 ', None]"
Jamaican Coffee,Alcoholic,Coffee / Tea,Champagne flute,"Rum, Coffee, Water, Whipped cream","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.","['1/6 glass ', '1/6 glass strong black ', '1/2 glass cold ', None]"
Just a Moonmint,Non alcoholic,Shake,Highball Glass,"Milk, Chocolate syrup, Mint syrup","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","['2 cups ', None, None]"
Jewel Of The Nile,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Green Chartreuse, Yellow Chartreuse","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['1 1/2 oz ', '1/2 oz ', '1/2 oz ']"
Jack Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Apple brandy, Grenadine, Lime","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 oz ', '1 tsp ', 'Juice of 1/2 ']"
Jack's Vanilla Coke,Alcoholic,Other / Unknown,Old-fashioned glass,"Ice, Tennessee whiskey, Vanilla extract, Coca-Cola","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.","['4-5 ', '2 oz ', '1 tsp ', '10-12 oz ']"
Kir,Alcoholic,Ordinary Drink,Wine Glass,"Creme de Cassis, Champagne","Add the crème de cassis to the bottom of the glass, then top up with wine.","['1 part ', '5 parts ']"
Karsk,Alcoholic,Ordinary Drink,Highball glass,"Coffee, Grain alcohol","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","['1 part ', '2 parts ']"
Kamikaze,Alcoholic,Ordinary Drink,Cocktail glass,"Vodka, Triple sec, Lime juice","Shake all ingredients together with ice. Strain into glass, garnish and serve.","['1 oz ', '1 oz ', '1 oz ']"
Kir Royale,Alcoholic,Ordinary Drink,Champagne Flute,"Creme de Cassis, Champagne","Pour Creme de cassis in glass, gently pour champagne on top","['1 part ', '5 parts ']"
Kiwi Lemon,Alcoholic,Ordinary Drink,Highball glass,"Kiwi liqueur, Bitter lemon, Ice",Mix in highball glass. Stirr. Garnish with slice of kiwi.,"['1 part ', '2 parts ', 'cubes']"
Kurant Tea,Alcoholic,Coffee / Tea,Champagne flute,"Absolut Kurant, Tea, Sugar","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!","['4 cl ', 'Turkish apple ', ' (if needed)\n']"
Kioki Coffee,Alcoholic,Coffee / Tea,Coffee mug,"Kahlua, Brandy, Coffee",Stir. Add whipped cream to the top.,"['1 oz ', '1/2 oz ', None]"
Kiwi Martini,Alcoholic,Cocktail,Cocktail glass,"Kiwi, Sugar Syrup, Vodka, Kiwi","The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.","['1/2', '1 tsp', '1 1/2 oz', 'Garnish with']"
Kiss me Quick,Alcoholic,Ordinary Drink,Highball glass,"Cranberry vodka, Apfelkorn, Schweppes Russchian, Apple juice, Ice",mix in the glass,"['4 cl ', '2 cl ', '7 cl ', '8 cl ', 'cubes']"
Kool-Aid Shot,Alcoholic,Shot,Old-fashioned glass,"Vodka, Amaretto, Sloe gin, Triple sec, Cranberry juice",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,"['1 shot ', '1 shot ', '1 shot ', '1 shot ', None]"
Kool First Aid,Alcoholic,Shot,Shot glass,"151 proof rum, Kool-Aid","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.","['2 oz light ', '1/2 tsp Tropical ']"
Kentucky B And B,Alcoholic,Ordinary Drink,Brandy snifter,"Bourbon, Benedictine",Pour the bourbon and Benedictine into a brandy snifter.,"['2 oz ', '1/2 oz ']"
Kentucky Colonel,Alcoholic,Ordinary Drink,Cocktail glass,"Bourbon, Benedictine, Lemon peel",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,"['3 oz ', '1/2 oz ', '1 twist of ']"
Kool-Aid Slammer,Alcoholic,Shot,Shot glass,"Kool-Aid, Vodka","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.","['1/2 oz Grape ', '1/2 oz ']"
Kiwi Papaya Smoothie,Non alcoholic,Other / Unknown,Highball Glass,"Kiwi, Papaya",Throw everything into a blender and liquify.,"['3 ', '1/2 ']"
Kill the cold Smoothie,Non alcoholic,Other / Unknown,Highball glass,"Ginger, Lemon, Water",Juice ginger and lemon and add it to hot water. You may add cardomom.,"['1 inch ', '1/4 ', '1 cup hot ']"
Limeade,Non alcoholic,Other / Unknown,Highball glass,"Lime, Sugar, Soda water, Lime peel","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","['Juice of 1 ', '1 tblsp ', ' (seltzer water)\n', None]"
Lunch Box,Alcoholic,Beer,Pint glass,"Beer, Amaretto, Orange juice",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,"['3/4 bottle ', '1 shot ', '1 oz ']"
Lemon Drop,Alcoholic,Cocktail,Cocktail glass,"Vodka, Cointreau, Lemon",Shake and strain into a chilled cocktail glass rimmed with sugar.,"['1 1/2 shot ', '1 1/2 shot ', 'Juice of 1 wedge ']"
Lemon Shot,Alcoholic,Shot,Shot glass,"Galliano, Absolut Citron, Lemon, Sugar, 151 proof rum","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.","['1/2 oz ', '1/2 oz ', ' wedge\n', 'Bacardi ', None]"
Long vodka,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Lime, Angostura bitters, Tonic water, Ice","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka","['5 cl ', '1/2 ', '4 dashes ', '1 dl Schweppes ', '4 ']"
Lassi Khara,Non alcoholic,Other / Unknown,Highball Glass,"Yoghurt, Water, Salt, Asafoetida",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,"['1 cup ', '2 cups cold ', '1 tsp ', '1 pinch ']"
Lassi Raita,Non alcoholic,Other / Unknown,Highball Glass,"Yoghurt, Ice, Sugar, Lime, Salt","Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.","['2 cups ', '4-6 ', None, None, None]"
Lemouroudji,Non alcoholic,Other / Unknown,Highball Glass,"Ginger, Water, Lemon, Sugar, Cayenne pepper","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.","['2 pieces ', '1 gal ', '1 lb ', '1 cup ', 'ground ']"
Loch Lomond,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Drambuie, Dry Vermouth, Lemon peel","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","['2 oz ', '1/2 oz ', '1/2 oz ', '1 twist of ']"
London Town,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Maraschino liqueur, Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['1 1/2 oz ', '1/2 oz ', '2 dashes ']"
Lassi - Mango,Non alcoholic,Other / Unknown,Highball glass,"Mango, Yoghurt, Sugar, Water",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,"['2 ', '2 cups ', '1/2 cup ', '1 cup iced ']"
Lassi - Sweet,Non alcoholic,Other / Unknown,Highball glass,"Yoghurt, Water, Sugar, Salt, Lemon juice",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,"['1 cup ', '2 cups cold ', '4 tblsp ', 'pinch ', '2 tblsp ']"
Limona Corona,Alcoholic,Beer,Beer Glass,"Corona, Bacardi Limon","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.","['1 bottle ', '1 oz ']"
Lord And Lady,Alcoholic,Ordinary Drink,Old-fashioned glass,"Dark rum, Tia maria",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,"['1 1/2 oz ', '1/2 oz ']"
Lady Love Fizz,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Light cream, Powdered sugar, Lemon, Egg white, Carbonated water","Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.","['2 oz ', '2 tsp ', '1 tsp ', 'Juice of 1/2', '1 ', None]"
Long Island Tea,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Light rum, Gin, Tequila, Lemon, Coca-Cola",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,"['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', 'Juice of 1/2 ', '1 splash ']"
Lone Tree Cooler,Alcoholic,Ordinary Drink,Collins glass,"Carbonated water, Gin, Dry Vermouth, Powdered sugar, Orange spiral, Lemon peel","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.","[None, None, None, None, None, None]"
Lone Tree Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Sweet Vermouth, Gin","Stir ingredients with ice, strain into a cocktail glass, and serve.","['3/4 oz ', '1 1/2 oz ']"
Lazy Coconut Paloma,Alcoholic,Cocktail,Highball glass,"Coconut Liqueur, Grapefruit Juice, Soda Water",Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,"['30 ml', '75 ml', 'Top']"
Long Island Iced Tea,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Tequila, Light rum, Gin, Coca-Cola, Lemon peel",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,"['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1 dash ', 'Twist of ']"
Lemon Elderflower Spritzer,Alcoholic,Cocktail,Highball glass,"Elderflower cordial, Vodka, Soda Water, Fresh Lemon Juice","Pour all ingredients over ice, stir and enjoy!
","['2 tsp', '1 shot', '1/3 cup', 'Top']"
Lassi - A South Indian Drink,Non alcoholic,Other / Unknown,Highball Glass,"Yoghurt, Water, Cumin seed, Salt, Mint","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.","['1/2 cup plain ', '1 1/4 cup cold ', '1/2 tsp ground roasted ', '1/4 tsp ', '1/4 tsp dried ']"
Melya,Non alcoholic,Coffee / Tea,Coffee mug,"Espresso, Honey, Cocoa powder","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","[None, 'Unsweetened ', None]"
Mojito,Alcoholic,Cocktail,Highball glass,"Light rum, Lime, Sugar, Mint, Soda water",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,"['2-3 oz ', 'Juice of 1 ', '2 tsp ', '2-4 ', None]"
Mimosa,Alcoholic,Ordinary Drink,Champagne flute,"Champagne, Orange juice","Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","['Chilled ', '2 oz ']"
Mai Tai,Alcoholic,Ordinary Drink,Collins glass,"Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,"['1 oz ', '1/2 oz ', '1/2 oz ', '1 1/2 oz ', '1 ']"
Martini,Alcoholic,Cocktail,Cocktail glass,"Gin, Dry Vermouth, Olive","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","['1 2/3 oz ', '1/3 oz ', '1 ']"
Michelada,Alcoholic,Cocktail,Pint glass,"Beer, Tomato Juice, Lime Juice, Hot Sauce, Worcestershire Sauce, Soy Sauce","Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
","['4 oz', '4 oz', '1 tblsp', 'Dash', 'Dash', 'Dash']"
Manhattan,Alcoholic,Cocktail,Cocktail glass,"Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel","Stirred over ice, strained into a chilled glass, garnished, and served up.","['3/4 oz ', '2 1/2 oz Blended ', 'dash ', '2 or 3 ', '1 ', '1 twist of ']"
Margarita,Alcoholic,Ordinary Drink,Cocktail glass,"Tequila, Triple sec, Lime juice, Salt","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.","['1 1/2 oz ', '1/2 oz ', '1 oz ', None]"
Mauresque,Alcoholic,Cocktail,Collins glass,"Ricard, Orgeat Syrup, Water, , , , ","1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.","['3 cl', '1 cl', 'Full Glass', '', '', '', '']"
Mint Julep,Alcoholic,Ordinary Drink,Collins glass,"Mint, Bourbon, Powdered sugar, Water","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.","['4 fresh ', '2 1/2 oz ', '1 tsp ', '2 tsp ']"
Mudslinger,Alcoholic,Punch / Party Drink,Punch bowl,"Southern Comfort, Orange juice, Pepsi Cola",Add all contents to a large jug or punch bowl. Stir well!,"['750 ml ', '1 L ', '750 ml ']"
Martinez 2,Alcoholic,Cocktail,Cocktail glass,"Gin, Sweet Vermouth, Maraschino Liqueur, Angostura Bitters","Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.","['1 1/2 oz', '1 1/2 oz', '1 tsp', '2 dashes']"
Moranguito,Alcoholic,Shot,Shot glass,"Absinthe, Tequila, Grenadine","first you put rhe absinthe, then put tequila, then put the Granadine syrup.","['2/5 ', '2/5 ', '1/5 ']"
Miami Vice,Alcoholic,Cocktail,Cocktail glass,"151 proof rum, Pina colada mix, Daiquiri mix","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).","['5 oz Bacardi ', 'frozen ', 'frozen ']"
Moscow Mule,Alcoholic,Punch / Party Drink,Copper Mug,"Vodka, Lime juice, Ginger ale",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,"['2 oz ', '2 oz ', '8 oz ']"
Mulled Wine,Alcoholic,Punch / Party Drink,Collins Glass,"Water, Sugar, Cloves, Cinnamon, Lemon peel, Red wine, Brandy","Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.","['3 cups ', '1 cup ', '12 ', '2 ', '1 ', '750 ml ', '1/4 cup ']"
Masala Chai,Non alcoholic,Coffee / Tea,Coffee Mug,"Water, Tea, Ginger, Cardamom, Cloves, Cinnamon, Black pepper, Sugar, Milk",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,"['2 cups ', '3-4 tsp ', '1 chunk dried ', '3-4 crushed ', '3 ', '1 piece ', '1-2 whole ', ' to taste\n', 'to taste']"
Munich Mule,Alcoholic,Cocktail,Highball glass,"Gin, Lime Juice, Ginger Beer, Cucumber, lemon","Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice","['5 cl', '2 cl', '10 cl', 'Chopped', 'Chopped']"
Mocha-Berry,Alcoholic,Coffee / Tea,Irish coffee cup,"Coffee, Chambord raspberry liqueur, Cocoa powder, Whipped cream","pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.","['6 oz ', '2 oz ', '2 tblsp ', None]"
Mango Mojito,Alcoholic,Cocktail,Jar,"Lime, Mango, Mint, White Rum, Ice, Soda Water, Mango","Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée.
Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.
Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.","['3', '1 Fresh', 'Sprig', '200 ml', 'cubes', 'Top', 'Garnish with']"
Mojito Extra,Alcoholic,Cocktail,Collins glass,"Mint, Lemon juice, Dark rum, Club soda, Angostura bitters","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.","['1/2 handful ', '3 cl ', '1/8 L Jamaican ', '1/8 L ', '8 drops ']"
Monkey Gland,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Benedictine, Orange juice, Grenadine","Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.","['2 oz ', '1 tsp ', '1/2 oz ', '1 tsp ']"
Midnight Mint,Alcoholic,Cocktail,Cocktail glass,"Baileys irish cream, White Creme de Menthe, Cream","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.","['1 oz ', '3/4 oz ', '3/4 oz double ']"
Mary Pickford,Alcoholic,Cocktail,Cocktail glass,"Light rum, Pineapple juice, Maraschino liqueur, Grenadine, Maraschino cherry",Shake and strain into a chilled large cocktail glass,"['1 1/2 oz ', '1 oz ', '1/2 tsp ', '1/2 tsp ', '1 ']"
Monkey Wrench,Alcoholic,Ordinary Drink,Old-fashioned glass,"Light rum, Grapefruit juice, Bitters",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,"['1 1/2 oz ', '3 oz ', '1 dash ']"
Negroni,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Campari, Sweet Vermouth","Stir into glass over ice, garnish and serve.","['1 oz ', '1 oz ', '1 oz ']"
New York Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Blended whiskey, Lemon, Sugar, Red wine, Lemon, Cherry","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.","['2 oz ', 'Juice of 1/2 ', '1 tsp ', ' (Claret)\n', None, None]"
Nutty Irishman,Alcoholic,Shake,Highball Glass,"Baileys irish cream, Frangelico, Milk",Serve over ice,"['1 part ', '1 part ', '1 part ']"
National Aquarium,Alcoholic,Ordinary Drink,Collins Glass,"Rum, Vodka, Gin, Blue Curacao, Sour mix, Lemon-lime soda",Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,"['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '2 oz ', '1 splash ']"
New York Lemonade,Alcoholic,Cocktail,Cocktail glass,"Absolut Citron, Grand Marnier, Lemon juice, Club soda",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,"['2 oz ', '1 oz ', '2 oz sweetened ', '1 oz ']"
Nuked Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,"Cocoa powder, Sugar, Vanilla extract, Milk","Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.","['2 tsp ', '1 tsp ', '1/2 tsp ', '12 oz ']"
Orgasm,Alcoholic,Ordinary Drink,Cocktail glass,"Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","['1/2 oz white ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1 oz ']"
Old Pal,Alcoholic,Cocktail,Nick and Nora Glass,"Rye whiskey, Campari, Dry Vermouth","Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.","['2 oz', '1 oz', '1 oz']"
Orangeade,Non alcoholic,Cocktail,Highball glass,"Lemon juice, Orange juice, Sugar syrup, Soda water","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.","['5 cl ', '15 cl ', '2-3 cl ', None]"
Orange Whip,Alcoholic,Other / Unknown,Collins Glass,"Orange juice, Rum, Vodka, Cream, Ice",Pour ingredients over ice and stir.,"['4 oz ', '1 oz ', '1 oz ', '1 package ', 'Over ']"
Orange Crush,Alcoholic,Shot,Shot glass,"Vodka, Triple sec, Orange juice",Add all ingredients to tumbler-Pour as shot,"['1 oz ', '1 oz ', '1 oz ']"
Orange Oasis,Alcoholic,Ordinary Drink,Highball glass,"Cherry brandy, Gin, Orange juice, Ginger ale","Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.","['1/2 oz ', '1 1/2 oz ', '4 oz ', None]"
Old Fashioned,Alcoholic,Cocktail,Old-fashioned glass,"Bourbon, Angostura bitters, Sugar, Water","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.","['4.5 cL', '2 dashes', '1 cube', 'dash']"
Oreo Mudslide,Alcoholic,Ordinary Drink,Collins Glass,"Vodka, Kahlua, Baileys irish cream, Vanilla ice-cream, Oreo cookie","Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.","['1 oz ', '1 oz ', '1 oz ', '2 scoops ', '1 ']"
Oatmeal Cookie,Alcoholic,Cocktail,Mason jar,"Kahlua, Baileys irish cream, Butterscotch schnapps, Jagermeister, Goldschlager","Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie.","['2 parts', '2 parts', '4 parts', '1 part', '1/2 part']"
Orange Push-up,Alcoholic,Ordinary Drink,Hurricane glass,"Spiced rum, Grenadine, Orange juice, Sour mix",Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,"['1.5 oz ', '0.5 oz ', '4 oz ', '1 splash ']"
Orange Rosemary Collins,Alcoholic,Cocktail,Highball glass,"Gin, Orange Juice, Lemon Juice, Rosemary Syrup, Soda Water, Rosemary, Orange Peel",Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.,"['1 shot', 'Top', 'Top', '25 ml', 'Top', 'Garnish with', 'Garnish with']"
Orange Scented Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,"Milk, Chocolate, Orange peel, Espresso, Nutmeg","Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.","['2 cups ', '4 oz chopped bittersweet or semi-sweet ', '3 2-inch strips ', '1/2 tsp instant ', '1/8 tsp ground ']"
Owen's Grandmother's Revenge,Alcoholic,Ordinary Drink,Highball glass,"Whiskey, Beer, Lemonade, Ice",Add ingredients and mix in blender.,"['12 oz ', '12 oz ', '12 oz frozen ', '1 cup crushed ']"
Paloma,Alcoholic,Cocktail,Collins glass,"Grape Soda, Tequila",Stir together and serve over ice.,"['3 oz', '1 1/2 oz']"
Paradise,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Apricot Brandy, Orange Juice",Shake together over ice. Strain into cocktail glass and serve chilled.,"['7 parts', '4 parts', '3 parts ']"
Pink Gin,Alcoholic,Ordinary Drink,White wine glass,"Bitters, Gin","Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.","['3 dashes ', '2 oz ']"
Pegu Club,Alcoholic,Cocktail,Cocktail glass,"Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters","Shake, strain, up, cocktail glass","['1 1/2 oz', '3/4 oz', '3/4 oz', '1 dash', '1 dash']"
Pink Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Grenadine, Light cream, Egg white","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 oz ', '1 tsp ', '1 tsp ', '1 ']"
Pink Moon,Alcoholic,Cocktail,Whiskey Glass,"Gin, Coconut Liqueur, Elderflower cordial, Lime Juice, Blackberries","Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!","['1 shot', '1 shot', '25 ml', '30 ml', 'Garnish with']"
